gwcode,country_name,year,for_years,prob
317,Slovakia,2021,2021 - 2022,0.030001150498548713
501,Kenya,2021,2021 - 2022,0.029752717824125304
552,Zimbabwe,2021,2021 - 2022,0.029658202055440907
450,Liberia,2021,2021 - 2022,0.028341386609759208
373,Azerbaijan,2021,2021 - 2022,0.02793564725653674
541,Mozambique,2021,2021 - 2022,0.027872620582344427
490,Democratic Republic of the Congo,2021,2021 - 2022,0.027852362294050442
340,Serbia,2021,2021 - 2022,0.027234393531764396
540,Angola,2021,2021 - 2022,0.027179096249304004
115,Suriname,2021,2021 - 2022,0.027021122637850482
615,Algeria,2021,2021 - 2022,0.026194367851393136
570,Lesotho,2021,2021 - 2022,0.026152043908325335
652,Syria,2021,2021 - 2022,0.02535393951006541
811,Cambodia,2021,2021 - 2022,0.02446145833743321
366,Estonia,2021,2021 - 2022,0.023588877729928116
565,Namibia,2021,2021 - 2022,0.02280801808872015
343,North Macedonia,2021,2021 - 2022,0.022418107009239713
940,Solomon Islands,2021,2021 - 2022,0.022297219134618355
920,New Zealand,2021,2021 - 2022,0.02219739986655165
305,Austria,2021,2021 - 2022,0.02199541517334981
626,South Sudan,2021,2021 - 2022,0.02165682902970207
91,Honduras,2021,2021 - 2022,0.021313567012955614
51,Jamaica,2021,2021 - 2022,0.021061878390590146
663,Jordan,2021,2021 - 2022,0.020987757097040302
517,Rwanda,2021,2021 - 2022,0.02021095655153367
402,Cape Verde,2021,2021 - 2022,0.019747366401662202
625,Sudan,2021,2021 - 2022,0.019584929873721943
812,Laos,2021,2021 - 2022,0.019409745568296752
211,Belgium,2021,2021 - 2022,0.019259955081515578
910,Papua New Guinea,2021,2021 - 2022,0.019255982594162297
52,Trinidad and Tobago,2021,2021 - 2022,0.019054751722848394
260,Germany,2021,2021 - 2022,0.018956650839872143
522,Djibouti,2021,2021 - 2022,0.01895133036380167
616,Tunisia,2021,2021 - 2022,0.017364576915685076
600,Morocco,2021,2021 - 2022,0.017121098327537887
712,Mongolia,2021,2021 - 2022,0.01676498028606877
678,Yemen,2021,2021 - 2022,0.01625090041938082
344,Croatia,2021,2021 - 2022,0.01624187670551057
531,Eritrea,2021,2021 - 2022,0.01541953319775261
620,Libya,2021,2021 - 2022,0.014669178739076222
94,Costa Rica,2021,2021 - 2022,0.014056641217920007
375,Finland,2021,2021 - 2022,0.012994287928138866
411,Equatorial Guinea,2021,2021 - 2022,0.012704809207230897
95,Panama,2021,2021 - 2022,0.012624780365812055
205,Ireland,2021,2021 - 2022,0.012473745032938991
704,Uzbekistan,2021,2021 - 2022,0.011746248827102592
690,Kuwait,2021,2021 - 2022,0.010191152096087622
705,Kazakhstan,2021,2021 - 2022,0.009873218238746751
670,Saudi Arabia,2021,2021 - 2022,0.008154376355083212
731,North Korea,2021,2021 - 2022,0.007654571601160614
572,Eswatini,2021,2021 - 2022,0.007331908385493343
40,Cuba,2021,2021 - 2022,0.0070866796709855105
696,United Arab Emirates,2021,2021 - 2022,0.0032060595328743716
694,Qatar,2021,2021 - 2022,0.0031287757002595026
