gwcode,country_name,year,for_years,prob
616,Tunisia,2022,2022 - 2023,0.5107719787737814
90,Guatemala,2022,2022 - 2023,0.4745901188701802
145,Bolivia,2022,2022 - 2023,0.2662103671451001
369,Ukraine,2022,2022 - 2023,0.26476546014742863
165,Uruguay,2022,2022 - 2023,0.2642402437895849
436,Niger,2022,2022 - 2023,0.2590162497051658
305,Austria,2022,2022 - 2023,0.22810904619294312
760,Bhutan,2022,2022 - 2023,0.21487214966079027
110,Guyana,2022,2022 - 2023,0.21401804304516958
2,United States of America,2022,2022 - 2023,0.2113784177725985
590,Mauritius,2022,2022 - 2023,0.2101703144965986
630,Iran,2022,2022 - 2023,0.20342785086891219
380,Sweden,2022,2022 - 2023,0.19493113691134423
375,Finland,2022,2022 - 2023,0.19086000669078665
93,Nicaragua,2022,2022 - 2023,0.19012300333203824
920,New Zealand,2022,2022 - 2023,0.1895304762333316
200,United Kingdom,2022,2022 - 2023,0.18876355335030484
225,Switzerland,2022,2022 - 2023,0.18766675274213912
20,Canada,2022,2022 - 2023,0.187417197707328
713,Taiwan,2022,2022 - 2023,0.17972784220914373
367,Latvia,2022,2022 - 2023,0.17709400875333894
210,Netherlands,2022,2022 - 2023,0.17031853005536401
346,Bosnia and Herzegovina,2022,2022 - 2023,0.16770477420353064
360,Romania,2022,2022 - 2023,0.1670577745412593
780,Sri Lanka,2022,2022 - 2023,0.16639563014336864
350,Greece,2022,2022 - 2023,0.1657388763831173
205,Ireland,2022,2022 - 2023,0.1628574259026351
390,Denmark,2022,2022 - 2023,0.16272451374549837
740,Japan,2022,2022 - 2023,0.1626274477705214
775,Burma/Myanmar,2022,2022 - 2023,0.15883007506577293
155,Chile,2022,2022 - 2023,0.15832171979290643
70,Mexico,2022,2022 - 2023,0.15812212317170726
666,Israel,2022,2022 - 2023,0.1580030721210937
790,Nepal,2022,2022 - 2023,0.15799167560590338
260,Germany,2022,2022 - 2023,0.15709694124229057
211,Belgium,2022,2022 - 2023,0.1566610032250729
310,Hungary,2022,2022 - 2023,0.15491035160551453
94,Costa Rica,2022,2022 - 2023,0.15437761577488937
560,South Africa,2022,2022 - 2023,0.15429232209905316
355,Bulgaria,2022,2022 - 2023,0.15390546631888566
290,Poland,2022,2022 - 2023,0.15282877398487804
395,Iceland,2022,2022 - 2023,0.15189394613606
451,Sierra Leone,2022,2022 - 2023,0.1517406626511559
900,Australia,2022,2022 - 2023,0.15169252769904934
212,Luxembourg,2022,2022 - 2023,0.14960819974289388
750,India,2022,2022 - 2023,0.14800115503560873
710,China,2022,2022 - 2023,0.14598898309777067
220,France,2022,2022 - 2023,0.1457444699181149
150,Paraguay,2022,2022 - 2023,0.14423343383991044
571,Botswana,2022,2022 - 2023,0.14278674687447496
339,Albania,2022,2022 - 2023,0.14171178837533793
371,Armenia,2022,2022 - 2023,0.13828836314995507
325,Italy,2022,2022 - 2023,0.13809367330647312
92,El Salvador,2022,2022 - 2023,0.1373717430554053
483,Chad,2022,2022 - 2023,0.13088515279164087
712,Mongolia,2022,2022 - 2023,0.12748372768326946
731,North Korea,2022,2022 - 2023,0.12662653603251586
385,Norway,2022,2022 - 2023,0.12615914548362392
530,Ethiopia,2022,2022 - 2023,0.12021290114754074
53,Barbados,2022,2022 - 2023,0.11595782591483013
349,Slovenia,2022,2022 - 2023,0.1159149961026768
670,Saudi Arabia,2022,2022 - 2023,0.11329285111224235
732,South Korea,2022,2022 - 2023,0.11293430724031471
352,Cyprus,2022,2022 - 2023,0.10962313554145818
404,Guinea-Bissau,2022,2022 - 2023,0.09773592652669083
625,Sudan,2022,2022 - 2023,0.09614363167831481
700,Afghanistan,2022,2022 - 2023,0.09170736021440473
860,Timor-Leste,2022,2022 - 2023,0.09006110119946002
698,Oman,2022,2022 - 2023,0.08971725012665394
42,Dominican Republic,2022,2022 - 2023,0.0860220609591784
703,Kyrgyzstan,2022,2022 - 2023,0.08583477842020322
230,Spain,2022,2022 - 2023,0.08405109621247646
551,Zambia,2022,2022 - 2023,0.0835063034808114
101,Venezuela,2022,2022 - 2023,0.08299691793218213
432,Mali,2022,2022 - 2023,0.08251242604730331
475,Nigeria,2022,2022 - 2023,0.08043091665292693
651,Egypt,2022,2022 - 2023,0.07984077662922281
482,Central African Republic,2022,2022 - 2023,0.07973642505534277
660,Lebanon,2022,2022 - 2023,0.07965406434696874
461,Togo,2022,2022 - 2023,0.07804198546893566
100,Colombia,2022,2022 - 2023,0.07756985007269238
770,Pakistan,2022,2022 - 2023,0.07469766865733064
435,Mauritania,2022,2022 - 2023,0.0728153507392218
626,South Sudan,2022,2022 - 2023,0.07183896517994713
51,Jamaica,2022,2022 - 2023,0.06750954129016011
840,Philippines,2022,2022 - 2023,0.0673582672099173
516,Burundi,2022,2022 - 2023,0.0668476559790769
365,Russia,2022,2022 - 2023,0.06661054585368349
439,Burkina Faso,2022,2022 - 2023,0.06595458872702742
830,Singapore,2022,2022 - 2023,0.06578414489062583
438,Guinea,2022,2022 - 2023,0.06568380437340911
580,Madagascar,2022,2022 - 2023,0.06558699291637597
694,Qatar,2022,2022 - 2023,0.06476484045465188
510,Tanzania,2022,2022 - 2023,0.06439630591338191
235,Portugal,2022,2022 - 2023,0.06197377481682755
484,Republic of the Congo,2022,2022 - 2023,0.06136818452183456
41,Haiti,2022,2022 - 2023,0.05897298622580916
452,Ghana,2022,2022 - 2023,0.05763167507558586
517,Rwanda,2022,2022 - 2023,0.056649575234719786
600,Morocco,2022,2022 - 2023,0.05642897674216981
434,Benin,2022,2022 - 2023,0.05586590578458628
368,Lithuania,2022,2022 - 2023,0.05566726205035376
850,Indonesia,2022,2022 - 2023,0.054551322331875686
820,Malaysia,2022,2022 - 2023,0.05425335535461166
135,Peru,2022,2022 - 2023,0.05349115251430754
91,Honduras,2022,2022 - 2023,0.05269402628624156
531,Eritrea,2022,2022 - 2023,0.05118281965041273
690,Kuwait,2022,2022 - 2023,0.05107051989320467
572,Eswatini,2022,2022 - 2023,0.050074385872730234
781,Maldives,2022,2022 - 2023,0.049505572317418506
130,Ecuador,2022,2022 - 2023,0.048698026266951314
490,Democratic Republic of the Congo,2022,2022 - 2023,0.047122178124688635
800,Thailand,2022,2022 - 2023,0.04686853490867411
615,Algeria,2022,2022 - 2023,0.046257492113889444
316,Czech Republic,2022,2022 - 2023,0.04571037060373939
500,Uganda,2022,2022 - 2023,0.044407166348166494
501,Kenya,2022,2022 - 2023,0.0439983833855334
663,Jordan,2022,2022 - 2023,0.04353256716173706
160,Argentina,2022,2022 - 2023,0.04302037937479661
450,Liberia,2022,2022 - 2023,0.04054578471554792
340,Serbia,2022,2022 - 2023,0.04042032640619485
433,Senegal,2022,2022 - 2023,0.03966014192553882
701,Turkmenistan,2022,2022 - 2023,0.0396175198795897
347,Kosovo,2022,2022 - 2023,0.038429766193784215
552,Zimbabwe,2022,2022 - 2023,0.03841555381622781
620,Libya,2022,2022 - 2023,0.03801326644467502
140,Brazil,2022,2022 - 2023,0.03603004968018535
437,Ivory Coast,2022,2022 - 2023,0.03593916918549397
570,Lesotho,2022,2022 - 2023,0.035932344248419616
370,Belarus,2022,2022 - 2023,0.035213666844895866
540,Angola,2022,2022 - 2023,0.03457000046975495
481,Gabon,2022,2022 - 2023,0.034207406503165706
640,Turkey,2022,2022 - 2023,0.03413768167538016
402,Cape Verde,2022,2022 - 2023,0.03295009087440098
645,Iraq,2022,2022 - 2023,0.032684330178467384
115,Suriname,2022,2022 - 2023,0.03181621875910206
771,Bangladesh,2022,2022 - 2023,0.03136868371928167
420,The Gambia,2022,2022 - 2023,0.031188946139017234
702,Tajikistan,2022,2022 - 2023,0.031081231139642472
372,Georgia,2022,2022 - 2023,0.03089229099772397
678,Yemen,2022,2022 - 2023,0.029810224236828553
553,Malawi,2022,2022 - 2023,0.029326681638150952
950,Fiji,2022,2022 - 2023,0.029221048858885542
811,Cambodia,2022,2022 - 2023,0.029025196693542164
910,Papua New Guinea,2022,2022 - 2023,0.02808082433948601
359,Moldova,2022,2022 - 2023,0.0260882696903888
