gwcode,country_name,year,for_years,prob
581,Comoros,2022,2022 - 2023,0.025064100037103857
565,Namibia,2022,2022 - 2023,0.024934191242163516
373,Azerbaijan,2022,2022 - 2023,0.02438023009087237
816,Vietnam,2022,2022 - 2023,0.02390073300548352
471,Cameroon,2022,2022 - 2023,0.02342619767192012
341,Montenegro,2022,2022 - 2023,0.023386053480631705
541,Mozambique,2022,2022 - 2023,0.022397261822874107
344,Croatia,2022,2022 - 2023,0.020580931455767632
343,North Macedonia,2022,2022 - 2023,0.020187446248734017
520,Somalia,2022,2022 - 2023,0.020042630037270765
652,Syria,2022,2022 - 2023,0.019439527349770985
940,Solomon Islands,2022,2022 - 2023,0.018946445997270314
522,Djibouti,2022,2022 - 2023,0.01782569141121597
317,Slovakia,2022,2022 - 2023,0.017028023350851615
95,Panama,2022,2022 - 2023,0.015160483553847645
52,Trinidad and Tobago,2022,2022 - 2023,0.014745137788789556
696,United Arab Emirates,2022,2022 - 2023,0.014198941992108291
40,Cuba,2022,2022 - 2023,0.013795567603567094
812,Laos,2022,2022 - 2023,0.013279995581466763
411,Equatorial Guinea,2022,2022 - 2023,0.011587028638767503
704,Uzbekistan,2022,2022 - 2023,0.011191561053836339
705,Kazakhstan,2022,2022 - 2023,0.009969078868948952
366,Estonia,2022,2022 - 2023,0.009712191662859289
