gwcode,year,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG
2,1950,2370482862928.9634,3.9424644493014944,14927.097950485902,2.4510849485091004
20,1950,147337320078.993,5.668597932145871,10728.706042306343,3.2606497624306563
40,1950,16540044002.419785,0.9328612207372404,2793.926351760099,0.24115194734872195
41,1950,5066289425.707292,3.070861956335592,1572.8933330354832,2.1162749277390738
42,1950,2152813376.1560597,0,910.2804973175728,0
70,1950,75464926964.1517,6.522834097429015,2700.4804782305137,3.298847811826866
90,1950,5425042238.886786,1.1580152567168764,1741.5865935431095,-0.31252705285796945
91,1950,1870222038.1990278,0,1208.9347370388027,0
92,1950,13669106127.94374,0,6213.230058156246,-2.2934545588286324
93,1950,1726792551.6683586,1.1892565301072062,1333.4305418288484,0.3272131064352919
94,1950,2069993760.3462555,8.466849050325756,2188.154080704287,0
95,1950,1948179452.145369,0.009208153054508061,2265.3249443550803,-1.1450446408713684
100,1950,17337321360.852238,1.8898509993383916,1446.9472008723283,0.578171209280359
101,1950,38978322272.326645,10.052086832050316,7110.237554236893,5.3619890070734035
130,1950,5725815675.612352,15.908304262491374,1650.0909727989488,13.017523383301313
135,1950,21280728699.225258,2.0086959896822543,2736.3673266330534,1.2933081043463324
140,1950,106542804800.16771,5.146863725621088,1973.9287596140382,2.079921689827866
145,1950,6061004228.009775,1.519196668261563,1966.5815146040802,0
150,1950,2754525833.6854196,-6.957442532116676,1870.0107492772706,-9.176040375375917
155,1950,16791836225.07404,0,2544.603155792399,0
160,1950,158870983520.32047,0,9324.508951773709,0
165,1950,10888571567.761776,10.637023561338335,4863.140494757381,10.373318367176473
200,1950,609993840783.8811,1.07214778326039,12051.403524258754,2.9303535786118697
205,1950,22786756631.416786,2.5200309703020336,7822.436193414619,0.633992239866902
210,1950,104411976415.7963,4.9132992391341945,10397.528023879337,3.485971120896701
211,1950,78478849495.80106,3.7451274746263294,9085.303252581738,3.1625436104540414
212,1950,6889493002.728991,1.6493987612907606,23275.314198408752,1.51383481511464
220,1950,320596621176.18286,4.882176994973496,7663.542123062171,4.072609265995974
221,1950,825567656.4924872,0,41278.38282462436,0
223,1950,443332659.9873502,9.221852609884,31666.618570525017,5.2746019656392535
225,1950,149914790799.51407,5.836470935445749,32115.422193554856,2.0453551034632147
230,1950,123894790183.75635,15.456330476681774,4413.77948641811,14.84263630334718
232,1950,292930374.2691484,8.753511781070276,48821.72904485807,0
235,1950,24069469539.244293,6.575104909809533,2859.6257026546623,6.637103738532952
260,1950,344346626223.75214,7.663957769091676,4921.628022521684,6.811855926142313
265,1950,102212482997.86578,0,5558.590998459109,0.20271374856955043
290,1950,59370253844.86193,1.548622160630453,2391.6473511465488,0.8404696956058161
305,1950,54610080848.7015,4.813415565538045,7873.42572789814,4.650972395360858
310,1950,21782161848.867355,5.21405398962814,2332.6367368673546,2.254381737160616
315,1950,46318240872.290985,0,3753.5041225519435,0
325,1950,325798477348.66003,4.639679754579465,6991.533667002726,3.89342082201238
331,1950,442344998.81501013,5.287586904808736,34026.538370385395,0
339,1950,577752474.9192325,0,457.44455654729416,0
345,1950,25088437825.43315,3.702780469605128,1533.054557007831,0
350,1950,26941364490.381794,3.854415137325425,3513.0218399246046,2.9229693489342843
355,1950,12781471147.584892,0,1762.7184040249472,0
360,1950,25783466122.490387,0,1588.042998428824,-1.307692026546039
365,1950,493594935103.53516,1.5294935574477444,2762.2047225653355,0
375,1950,29480915577.844673,12.815462862491778,7355.517858743681,11.64552472910298
380,1950,94427097971.81482,0.9795842736647535,13470.342078718233,0.8124889558355495
385,1950,63121616147.74248,0,19332.807395939504,0
390,1950,60791014180.69551,3.0826190066241934,14243.44287270279,2.480900726123914
395,1950,1396031478.0812275,-0.23712985513634754,9762.457888679914,-0.5133483303511885
450,1950,1840924748.362299,0,1979.488976733655,0
530,1950,2346137932.8738604,3.880945539200637,129.42067149568956,3.5357136478709807
560,1950,44838555405.79859,4.282242037284058,3290.178706031596,1.6747720553589887
630,1950,56348838815.53608,0,3291.59640256651,0
640,1950,31133658940.377197,0,1454.3002120878737,0
645,1950,2459984919.634809,0,430.14249337905386,0
651,1950,17096338249.369804,0.8756448724609931,835.9250073034326,-0.1281130977836784
652,1950,6094088473.020842,0,1785.551852628433,0
660,1950,10622448882.89225,-7.363515448537294,7956.8905489829585,0
663,1950,3078507268.710901,2.7930643021685917,6400.223011872975,0
666,1950,2682186776.1772823,32.47568364547695,2132.1039556258206,23.90662455465428
670,1950,32131852678.537556,1.4194540450233395,10295.370931924881,0.7683044577882505
678,1950,20828875644.991093,0,6266.208076110437,-0.10980936664620651
698,1950,420757873.47073394,10.379445322306688,922.7146348042411,8.447709602369462
700,1950,2503190545.6917014,0,322.9089971222525,0
710,1950,83618054945.45302,1.4325773857175057,150.82104860304756,2.778657467852892
711,1950,2792448719.261294,NA,1792.7893677846007,NA
712,1950,921042755.7363044,1.0846820234401506,1180.824045815775,1.033619833716579
713,1950,7406874078.386501,10.157809409722503,974.3322912899896,6.201995421604584
731,1950,8805733245.691595,0,834.7457811822537,0
732,1950,23219432175.61267,-1.344737671385512,1208.652968383357,-3.474349637789995
740,1950,358722958561.8116,6.192072725678261,4332.298236296365,4.581463883280623
750,1950,95092956809.11575,3.9118432788034636,252.68838586093338,1.9604021880022904
760,1950,114459054.53646249,0.0032086493404166676,646.6613250647598,-2.228911679347179
770,1950,18965776915.745888,0,251.41213086079625,0
775,1950,1967562961.218498,6.497691728684508,110.6615838705567,4.545252311179919
780,1950,3842323670.0186605,0,482.0378459438791,0
790,1950,2472952348.424696,3.626376375460231,291.5186076181417,2.0546480894557786
800,1950,10190894981.36241,-0.4549047933495656,492.0760493173544,-1.4784332920302699
840,1950,19187704900.27451,0.8320803981373094,1032.7074757951834,-0.310297041906549
850,1950,33398809441.282623,2.101697855906343,477.4122965391038,1.694750719820862
900,1950,137292637800.3481,-2.6219269400800527,16790.098789329593,-1.9148504725097608
920,1950,30374340982.754383,0,15919.465923875463,0
2,1951,2536415798184.0146,6.999963503217438,15766.67038505156,5.624485330977068
20,1951,153400560131.9098,4.1152099479385464,10896.473940326026,1.5637290961102552
40,1951,17008437979.522722,2.8318786638923834,2811.3120627310286,0.6222680479740345
41,1951,5165726770.36221,1.9627253064216021,1577.802923140565,0.312137511296267
42,1951,3087588805.3059287,43.421108373961815,1265.924069416125,39.069668431496396
70,1951,82495073106.84999,9.315779429612164,2869.393847194782,6.254937605583019
90,1951,5555486340.607423,2.4044808496717507,1729.603468433195,-0.6880579555642885
91,1951,1933646778.2140996,3.391294654839387,1216.8953922052233,0.6584851044912158
92,1951,13670473185.686049,0.010001076365286155,6108.343693336036,-1.6881133297570867
93,1951,1900101560.5601826,10.036469564591282,1426.5026730932302,6.979900965574856
94,1951,2159759954.9721727,4.336544213104376,2221.9752623170502,1.5456489975275145
95,1951,1958525884.3022778,0.5310820902825497,2223.071378322676,-1.8652320117559777
100,1951,17664970901.848812,1.8898509993383914,1436.6436972876393,-0.7120856641125033
101,1951,43005171724.88999,10.330997379592914,7509.197088334205,5.611057732657292
130,1951,6948084814.368276,21.346637894088456,1951.1611385476765,18.245670736446776
135,1951,22496709315.77086,5.713998959959814,2820.5503154176104,3.0764505907231188
140,1951,109480940560.41739,2.757704535524913,1968.869196856767,-0.25631942047697903
145,1951,6517122291.7572,7.525453647426319,2086.146700306402,6.079848956903945
150,1951,2375269989.7412705,-13.768462045488366,1570.9457604108932,-15.992688222886489
155,1951,17272485565.749023,2.86239893143589,2566.4911687591416,0.8601739299473095
160,1951,160690283201.41168,1.1451428327429714,9240.38431290464,-0.902188408034791
165,1951,13233595407.459736,21.536560834489666,5852.983373489489,20.35398483344641
200,1951,635882479476.9725,4.244081982831642,12566.350726788913,4.272923078989103
205,1951,23203891870.473217,1.8306038274938783,7965.634009774534,1.8306038274938867
210,1951,109816581099.95595,5.176230610401509,10800.214506289924,3.8729059588564
211,1951,82611907949.44075,5.266461575562254,9517.500915834187,4.757107729228887
212,1951,7537076772.232957,9.399585270606305,25292.20393366764,8.665359866105584
220,1951,339916749983.7823,6.02630456201287,8087.28676414509,5.529357499161242
221,1951,905378625.1834313,9.667404974418394,47651.506588601645,15.439373657282527
223,1951,484216144.46286184,9.221852609884,34586.86746163299,9.221852609883994
225,1951,161697010755.99063,7.859277856201199,34243.331375686284,6.6258172453933115
230,1951,143044378397.94922,15.456330476681773,5068.900722818895,14.84263630334718
232,1951,330424881.0043339,12.799801600886578,47203.55442919056,-3.314455770668643
235,1951,26671348499.024296,10.809872463278614,3167.9948329996787,10.78354870215181
260,1951,379193539745.0135,10.11971974385434,5393.933709032909,9.596533593150964
265,1951,102212482997.86578,0,5569.859026639735,0.20271374856955043
290,1951,61823610309.34075,4.132299098618628,2445.264023626182,2.2418301951552086
305,1951,57328377205.33268,4.9776457283816935,8271.299553503488,5.053376247591306
310,1951,23934011383.280766,9.878953013680338,2524.4184562051223,8.221671051761088
315,1951,47151792382.54845,1.7996182379977175,3766.7193147905773,0.3520761349170706
325,1951,349204822713.6707,7.184301644222202,7428.309353619883,6.247208515616039
331,1951,476527715.72557056,7.727614645159746,36655.9781327362,7.727614645159754
339,1951,620183358.7575169,7.34412844258539,481.88295163754225,5.342373133632745
345,1951,26108562287.92453,4.0661139190469555,1570.628784691363,2.4509387165495533
350,1951,32458235843.979595,20.47732718054185,4191.945737308484,19.325923046309626
355,1951,14726724253.847538,15.219320873170448,2014.3242037816356,14.273737607900275
360,1951,25783466122.490387,0,1561.4041132738078,-1.6774662387209993
365,1951,495240403914.7252,0.33336420092011565,2732.707620358585,-1.0678825492469628
375,1951,33259031365.24591,12.815462862491778,8212.106509937263,11.64552472910298
380,1951,97967525404.38399,3.749376512265511,13850.915510304536,2.825269242327335
385,1951,67862013347.70797,7.509942693593455,20558.016766951823,6.337462252221328
390,1951,59747021395.17405,-1.7173472092738773,13865.635041813426,-2.6525035714042366
395,1951,1382715440.953882,-0.9538493462660139,9535.968558302635,-2.3200031483864847
450,1951,1923913115.3124814,4.507971714976918,2038.0435543564422,2.9580653547971716
530,1951,2765983291.9590564,17.895169469891904,149.7797851280152,15.730959665901365
560,1951,47566657454.960915,6.084277302139669,3416.6540335412237,3.844026079123654
620,1951,8607506429.573296,-1.4309336859929778,7530.626797526943,-0.35168632674356354
630,1951,56234838610.973724,-0.2023115417436495,3210.3007713063726,-2.4697934168584514
640,1951,39003253545.9307,25.276806110789114,1776.8326520855862,22.177844527346053
645,1951,2768114596.151217,12.525673391613742,469.0129779991896,9.036653020440362
651,1951,17841780779.41677,4.36024673338716,851.6769668918216,1.884374728685585
652,1951,5930912609.105268,-2.6776090409249957,1695.0307542455753,-5.069642656952554
660,1951,9928261786.23009,-6.535094725474918,7310.943877930847,-8.118079129977177
663,1951,3251675855.129385,5.625082915298658,6066.559431211539,-5.213311786830875
666,1951,3553245268.3894334,32.47568364547695,2641.8180434122182,23.90662455465428
670,1951,33810871339.53625,5.225402586637012,10569.200168657784,2.6597316264126722
678,1951,21009960581.024185,0.869393716298074,6232.560243555083,-0.53697279354056
698,1951,445154146.3239136,5.798173817150573,963.5371132552242,4.424171559784984
700,1951,2590381324.9206085,3.4831858636959603,330.40578123987353,2.3216398999197767
710,1951,95708006845.07137,14.458542365647043,167.9355947091051,11.347584614069383
712,1951,945969586.7621421,2.706370672869636,1191.397464435947,0.8954271093681392
713,1951,8320594205.144856,12.336109903969072,1049.1229611833132,7.6760947534955255
731,1951,7017661846.849529,-20.305763858074176,684.7167379109698,-17.973022044962867
732,1951,21301779950.83392,-8.258824807924709,1095.0382949074137,-9.400107098393127
740,1951,390042214414.64154,8.730764258411225,4625.957284674813,6.778366408806943
750,1951,99591695254.22432,4.730885016162743,260.45419900837214,3.0732766450582596
760,1951,114459054.53646249,0,632.370467052279,-2.209944751381209
770,1951,19661744903.37883,3.6695991454751913,256.34942963244407,1.9638267870143218
775,1951,2040341110.2911208,3.6988981042594835,112.701121867605,1.8430406702239073
780,1951,4374490146.272483,13.850120967326987,539.5276450755406,11.926407773873148
790,1951,2553018310.615391,3.237667003235946,294.66970344129624,1.0809244215663065
800,1951,9857387281.328434,-3.2726046205353923,463.5934384295929,-5.788253853703052
840,1951,19693758809.83062,2.6373863481133197,1023.2118672951951,-0.9194867590821579
850,1951,36445129020.35549,9.121042426462852,511.38139165341374,7.115253494843237
900,1951,132534714310.3545,-3.465534325964802,15781.69972735824,-6.005915001597303
920,1951,28203558047.937027,-7.146765541513673,14478.21255027568,-9.05340279938814
2,1952,2619176399080.451,3.2628956559760525,16042.38726422189,1.7487324364422432
20,1952,168157466086.52176,9.61985141509421,11641.222989721133,6.834771077999047
40,1952,17744430485.057003,4.327219856522848,2871.7317502924425,2.1491633163882775
41,1952,5525453070.503804,6.9637113252966465,1659.2952163675088,5.164922185892265
42,1952,3265635428.644875,5.76652639214712,1296.9163735682585,2.4481961359995283
70,1952,86176499944.29323,4.4626020667621535,2912.3521441126472,1.4971209671987875
90,1952,5711425474.7901945,2.806939386079414,1724.4642134028365,-0.2971348707466487
91,1952,1942691568.4859707,0.4677581435128904,1190.3747355918938,-2.1793702879644825
92,1952,13694169048.921091,0.1733360865654147,6006.214495140829,-1.671962209766064
93,1952,2227895699.3194857,17.251400954729164,1623.8306846351936,13.832992763629184
94,1952,2476674316.6646843,14.673591894456383,2471.7308549547747,11.240250819772053
95,1952,2082038297.0142496,6.306396749817421,2303.1397090865594,3.6016986024216395
100,1952,18965665840.486927,7.3631309435215915,1501.160823214099,4.490823023709158
101,1952,48795803002.03007,13.464964898137232,8168.028624377313,8.773661528562425
130,1952,7845418559.214462,12.914835797492676,2146.48934588631,10.010870116243886
135,1952,23398498783.280094,4.008539448376364,2858.7047994233467,1.3527319047342423
140,1952,119388777671.2574,9.049828271590652,2084.1557445579465,5.855470129007578
145,1952,6506518346.831774,-0.16270900637906183,2051.8821655098623,-1.6424796392078909
150,1952,2320913239.2317114,-2.2884451344194363,1496.3979621094206,-4.745408796416624
