name,model,Brier,AUC_ROC,AUC_PR,Kappa,trained_on
Lagged RoW logistic regression,mdl1,0.04398204974121184,0.7119954019445408,0.08203556975581837,0,2019-04-12
Small feature set logistic regression,mdl2,0.043310934119348436,0.7704432738301655,0.13736624143498652,-0.0010217042941331152,2019-04-12
Elastic net logistic regression,mdl3,0.03886387163960543,0.8548265821182247,0.30216628278350927,0.0981475482333317,2019-04-14
Random forest,mdl4,0.034503930273161426,0.9146087799740557,0.39560099810178695,0.19394332063083342,2019-04-14
XGBoost,mdl5,0.03549925992078771,0.9198787001410975,0.42047655532571754,0.2504318969222588,2019-04-14
Ensemble,mdl6,0.03416317675388956,0.929684979991303,0.45655383190415433,0.1652775967863484,2019-04-14
