model,set,measure,value
mdl2,CV,Accuracy,0.9518957957183389
mdl2,CV,Kappa,-0.0010217042941331152
mdl2,CV,AUC_ROC,0.7704432738301655
mdl2,CV,AUC_PR,0.13736624143498652
mdl2,CV,Brier,0.043310934119348436
