model,set,measure,value
mdl5,CV,Accuracy,0.9549264895537787
mdl5,CV,Kappa,0.2504318969222588
mdl5,CV,AUC_ROC,0.9198787001410975
mdl5,CV,AUC_PR,0.42047655532571754
mdl5,CV,Brier,0.03549925992078771
