model,set,measure,value
mdl1,CV,Accuracy,0.9524116584988394
mdl1,CV,Kappa,0
mdl1,CV,AUC_ROC,0.7119954019445408
mdl1,CV,AUC_PR,0.08203556975581837
mdl1,CV,Brier,0.04398204974121184
