model,set,measure,value
mdl4,CV,Accuracy,0.9545395924684034
mdl4,CV,Kappa,0.19394332063083342
mdl4,CV,AUC_ROC,0.9146087799740557
mdl4,CV,AUC_PR,0.39560099810178695
mdl4,CV,Brier,0.034503930273161426
